id,label
0,0
1,0
2,0
3,6
4,3
5,3
6,2
7,6
8,4
9,5
10,2
11,0
12,0
13,5
14,6
15,2
16,5
17,5
18,5
19,3
20,5
21,5
22,4
23,4
24,0
25,6
26,4
27,2
28,0
29,5
30,3
31,6
32,3
33,6
34,0
35,2
36,6
37,2
38,6
39,3
40,0
41,2
42,0
43,6
44,6
45,0
46,5
47,3
48,5
49,6
50,6
51,3
52,5
53,3
54,2
55,3
56,2
57,4
58,5
59,3
60,6
61,3
62,4
63,5
64,5
65,3
66,5
67,2
68,5
69,2
70,6
71,5
72,6
73,3
74,2
75,6
76,5
77,6
78,4
79,4
80,0
81,0
82,0
83,3
84,5
85,2
86,3
87,3
88,5
89,3
90,6
91,0
92,3
93,6
94,0
95,0
96,2
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,5
105,5
106,6
107,6
108,6
109,3
110,3
111,2
112,5
113,0
114,3
115,2
116,3
117,5
118,2
119,6
120,5
121,3
122,0
123,2
124,4
125,6
126,3
127,6
128,5
129,5
130,2
131,6
132,2
133,6
134,5
135,5
136,5
137,3
138,6
139,6
140,0
141,3
142,0
143,4
144,2
145,2
146,3
147,3
148,3
149,2
150,4
151,0
152,5
153,3
154,5
155,5
156,4
157,5
158,2
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,6
167,0
168,5
169,6
170,6
171,4
172,5
173,6
174,0
175,0
176,0
177,2
178,4
179,5
180,6
181,3
182,2
183,3
184,3
185,0
186,2
187,3
188,3
189,3
190,4
191,6
192,5
193,5
194,3
195,6
196,5
197,6
198,0
199,0
200,3
201,3
202,2
203,3
204,3
205,5
206,4
207,4
208,2
209,5
210,6
211,0
212,0
213,4
214,6
215,5
216,5
217,3
218,3
219,3
220,3
221,6
222,5
223,6
224,2
225,3
226,5
227,2
228,0
229,3
230,6
231,6
232,5
233,6
234,3
235,3
236,3
237,0
238,2
239,6
240,3
241,6
242,6
243,0
244,1
245,3
246,3
247,3
248,0
249,0
250,4
251,2
252,2
253,2
254,3
255,6
256,5
257,4
258,2
259,6
260,4
261,0
262,2
263,6
264,2
265,0
266,2
267,3
268,3
269,4
270,0
271,4
272,5
273,3
274,5
275,3
276,4
277,5
278,0
279,6
280,3
281,5
282,6
283,2
284,4
285,6
286,2
287,6
288,4
289,6
290,5
291,3
292,6
293,4
294,3
295,6
296,4
297,6
298,4
299,3
300,3
301,4
302,3
303,3
304,2
305,3
306,5
307,3
308,3
309,3
310,3
311,6
312,4
313,3
314,0
315,0
316,4
317,2
318,5
319,3
320,0
321,5
322,3
323,6
324,6
325,2
326,2
327,3
328,3
329,2
330,3
331,3
332,0
333,3
334,0
335,3
336,2
337,6
338,0
339,3
340,6
341,5
342,6
343,6
344,0
345,6
346,3
347,3
348,2
349,0
350,4
351,2
352,6
353,3
354,6
355,4
356,3
357,0
358,3
359,2
360,4
361,2
362,3
363,2
364,5
365,3
366,3
367,3
368,2
369,4
370,3
371,6
372,6
373,2
374,4
375,2
376,0
377,5
378,4
379,4
380,6
381,5
382,3
383,2
384,3
385,6
386,3
387,5
388,6
389,0
390,2
391,6
392,3
393,5
394,0
395,5
396,2
397,2
398,4
399,0
400,0
401,5
402,3
403,6
404,2
405,6
406,5
407,5
408,5
409,5
410,3
411,5
412,4
413,3
414,3
415,6
416,4
417,6
418,5
419,4
420,6
421,3
422,2
423,4
424,5
425,0
426,3
427,3
428,3
429,6
430,2
431,4
432,2
433,6
434,6
435,2
436,3
437,2
438,3
439,0
440,6
441,0
442,6
443,2
444,2
445,6
446,0
447,5
448,5
449,0
450,0
451,3
452,6
453,4
454,4
455,5
456,2
457,4
458,0
459,6
460,5
461,5
462,5
463,3
464,6
465,6
466,2
467,3
468,3
469,4
470,3
471,5
472,2
473,2
474,6
475,2
476,5
477,6
478,2
479,4
480,0
481,6
482,6
483,2
484,0
485,2
486,6
487,5
488,3
489,3
490,0
491,4
492,3
493,0
494,4
495,4
496,5
497,2
498,4
499,5
500,6
501,2
502,3
503,5
504,0
505,3
506,6
507,6
508,5
509,4
510,2
511,3
512,5
513,3
514,5
515,3
516,5
517,3
518,0
519,6
520,3
521,6
522,4
523,6
524,3
525,3
526,3
527,3
528,6
529,2
530,0
531,3
532,5
