id,label
0,6
1,0
2,0
3,2
4,3
5,3
6,2
7,6
8,3
9,5
10,3
11,0
12,4
13,2
14,6
15,5
16,5
17,2
18,5
19,3
20,6
21,5
22,6
23,4
24,0
25,6
26,4
27,5
28,0
29,5
30,3
31,6
32,3
33,6
34,0
35,4
36,6
37,5
38,6
39,3
40,0
41,4
42,0
43,6
44,6
45,3
46,5
47,3
48,5
49,6
50,6
51,3
52,5
53,3
54,4
55,3
56,2
57,4
58,5
59,3
60,6
61,3
62,4
63,5
64,5
65,3
66,5
67,6
68,0
69,3
70,6
71,5
72,6
73,3
74,2
75,6
76,5
77,6
78,4
79,4
80,0
81,0
82,0
83,3
84,5
85,4
86,3
87,3
88,5
89,3
90,6
91,5
92,3
93,6
94,0
95,0
96,3
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,5
105,5
106,6
107,6
108,5
109,3
110,3
111,0
112,0
113,0
114,3
115,2
116,3
117,3
118,2
119,6
120,5
121,3
122,0
123,2
124,4
125,3
126,3
127,0
128,5
129,5
130,2
131,6
132,2
133,6
134,5
135,5
136,5
137,3
138,6
139,6
140,6
141,3
142,0
143,4
144,4
145,6
146,3
147,3
148,3
149,2
150,4
151,0
152,5
153,3
154,5
155,5
156,4
157,5
158,0
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,6
167,0
168,5
169,6
170,6
171,4
172,5
173,6
174,0
175,6
176,0
177,2
178,4
179,5
180,6
181,3
182,5
183,3
184,3
185,4
186,2
187,3
188,3
189,3
190,4
191,6
192,5
193,5
194,3
195,4
196,5
197,6
198,0
199,4
200,3
201,3
202,3
203,3
204,3
205,5
206,4
207,4
208,0
209,5
210,6
211,4
212,0
213,4
214,4
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,4
224,0
225,3
226,5
227,0
228,0
229,3
230,6
231,6
232,5
233,3
234,3
235,3
236,3
237,0
238,0
239,6
240,3
241,6
242,6
243,0
244,1
245,3
246,3
247,3
248,0
249,0
250,4
251,2
252,4
253,3
254,3
255,6
256,0
257,4
258,2
259,6
260,4
261,0
262,0
263,6
264,2
265,0
266,0
267,3
268,3
269,4
270,6
271,4
272,5
273,3
274,5
275,3
276,3
277,5
278,0
279,6
280,3
281,5
282,6
283,2
284,4
285,4
286,0
287,6
288,4
289,6
290,5
291,3
292,6
293,2
294,3
295,6
296,2
297,6
298,4
299,3
300,3
301,4
302,2
303,3
304,2
305,3
306,5
307,3
308,3
309,3
310,3
311,6
312,4
313,3
314,0
315,2
316,4
317,2
318,2
319,3
320,4
321,5
322,3
323,6
324,4
325,4
326,6
327,3
328,3
329,5
330,3
331,3
332,0
333,3
334,5
335,3
336,3
337,6
338,0
339,3
340,4
341,5
342,6
343,6
344,0
345,6
346,3
347,3
348,4
349,0
350,4
351,0
352,6
353,3
354,6
355,4
356,3
357,0
358,3
