id,label
0,6
1,3
2,4
3,4
4,3
5,0
6,0
7,4
8,4
9,0
10,0
11,5
12,0
13,2
14,6
15,4
16,3
17,0
18,5
19,3
20,6
21,4
22,0
23,4
24,3
25,3
26,6
27,4
28,5
29,5
30,3
31,4
32,3
33,6
34,0
35,6
36,0
37,2
38,4
39,3
40,0
41,6
42,0
43,3
44,4
45,6
46,4
47,0
48,5
49,6
50,6
51,6
52,5
53,6
54,3
55,3
56,4
57,6
58,5
59,3
60,6
61,0
62,4
63,0
64,5
65,3
66,4
67,4
68,6
69,3
70,4
71,5
72,6
73,6
74,0
75,3
76,5
77,6
78,6
79,4
80,6
81,6
82,0
83,6
84,5
85,4
86,0
87,6
88,4
89,3
90,6
91,3
92,6
93,6
94,0
95,0
96,3
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,0
105,0
106,6
107,6
108,2
109,2
110,3
111,0
112,5
113,4
114,3
115,0
116,0
117,6
118,6
119,6
120,5
121,0
122,3
123,2
124,4
125,3
126,0
127,3
128,5
129,5
130,5
131,6
132,6
133,0
134,4
135,5
136,6
137,3
138,6
139,6
140,6
141,3
142,4
143,3
144,6
145,0
146,3
147,5
148,4
149,2
150,3
151,3
152,5
153,3
154,6
155,5
156,5
157,6
158,0
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,0
167,3
168,5
169,6
170,2
171,3
172,5
173,3
174,0
175,4
176,4
177,6
178,6
179,5
180,4
181,3
182,5
183,3
184,3
185,4
186,3
187,3
188,0
189,3
190,3
191,3
192,6
193,5
194,3
195,4
196,5
197,6
198,0
199,2
200,3
201,3
202,0
203,3
204,0
205,6
206,4
207,3
208,4
209,3
210,0
211,4
212,0
213,0
214,6
215,5
216,2
217,4
218,4
219,6
220,3
221,4
222,4
223,6
224,4
225,6
226,6
227,3
228,2
229,3
230,3
231,3
232,4
233,3
234,3
235,3
236,3
237,0
238,4
239,6
240,3
241,4
242,0
243,0
244,0
245,6
246,3
247,0
248,4
249,2
250,4
251,4
252,4
253,3
254,3
255,4
256,6
